Column1,cbe_number,cbe_number_formatted,denomination,denomination_with_legal_form,juridical_form,juridical_form_short,juridical_form_id,start_date,address.street,address.street_number,address.box,address.post_code,address.city,address.full_address,contact_infos.email,contact_infos.phone,contact_infos.web,Company Name,valid address
0,567620442,567.620.442,02-Apr,2/4 SPRL,Société privée à responsabilité limitée,SPRL,13,05/11/2014,Van Erstenstraat,30,,2100,Antwerpen,Van Erstenstraat 30 2100 Antwerpen,,,,24+,Yes
1,683740726,683.740.726,"Vereniging van Mede-eigenaars Residentie Kasteelbeek te Kortemark, Lichterveldestraat 24","Vereniging van Mede-eigenaars Residentie Kasteelbeek te Kortemark, Lichterveldestraat 24 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,07/09/2016,Lichterveldestraat,24,,8610,Kortemark,Lichterveldestraat 24 8610 Kortemark,,,,24+,Yes
2,683741617,683.741.617,"Vereniging van Mede-eigenaars Residentie Casa Tivoli te Torhout, Aartrijkestraat 24","Vereniging van Mede-eigenaars Residentie Casa Tivoli te Torhout, Aartrijkestraat 24 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,08/09/2016,Aartrijkestraat,24,,8820,Torhout,Aartrijkestraat 24 8820 Torhout,,,,24+,Yes
3,683743201,683.743.201,"Vereniging van Mede-eigenaars Residentie Verdi te Middelkerke, Parijsstraat 2-4","Vereniging van Mede-eigenaars Residentie Verdi te Middelkerke, Parijsstraat 2-4 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,26/09/2016,Parijsstraat,02-Apr,,8430,Middelkerke,Parijsstraat 2-4 8430 Middelkerke,,,,24+,Yes
4,683796154,683.796.154,"Vereniging van Mede-Eigenaars van het gebouw te 2000 Antwerpen, Graaf Van Egmontstraat 24","Vereniging van Mede-Eigenaars van het gebouw te 2000 Antwerpen, Graaf Van Egmontstraat 24 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,06/09/2017,Graaf van Egmontstraat,24,,2000,Antwerpen,Graaf van Egmontstraat 24 2000 Antwerpen,,,,24+,Yes
5,683801597,683.801.597,"Vereniging van Mede-Eigenaars van het gebouw te 2000 Antwerpen, Haarstraat 24","Vereniging van Mede-Eigenaars van het gebouw te 2000 Antwerpen, Haarstraat 24 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,20/09/2017,Haarstraat,24,,2000,Antwerpen,Haarstraat 24 2000 Antwerpen,,,,24+,Yes
6,684594029,684.594.029,"Vereniging van Mede-eigenaars van het gebouw te 3500 Hasselt, Kapermolenstraat 24 (voorheen Sint Jansstraat/plein)(basisakte 1205-8 dd 05/11/76)","Vereniging van Mede-eigenaars van het gebouw te 3500 Hasselt, Kapermolenstraat 24 (voorheen Sint Jansstraat/plein)(basisakte 1205-8 dd 05/11/76) Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,01/08/1995,Kapermolenstraat,24,,3500,Hasselt,Kapermolenstraat 24 3500 Hasselt,,,,24+,Yes
7,684646091,684.646.091,"Vereniging van Mede-Eigenaars van het gebouw Arethusa te 2000 Antwerpen, Verviersstraat 2-4","Vereniging van Mede-Eigenaars van het gebouw Arethusa te 2000 Antwerpen, Verviersstraat 2-4 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,01/08/1995,Verviersstraat,02-Apr,,2000,Antwerpen,Verviersstraat 2-4 2000 Antwerpen,,,,24+,Yes
8,684948672,684.948.672,"VERENIGING VAN MEDE-EIGENAARS RESIDENTIE KERKSTRAAT TE ZULTE(OLSENE), KERKSTRAAT 24","VERENIGING VAN MEDE-EIGENAARS RESIDENTIE KERKSTRAAT TE ZULTE(OLSENE), KERKSTRAAT 24 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,19/09/2017,Kerkstraat,24,,9870,Zulte,Kerkstraat 24 9870 Zulte,,,,24+,Yes
9,685719229,685.719.229,"Vereniging van Mede-eigenaars Residentie Arnaud te Wingene, Oude Bruggestraat 24","Vereniging van Mede-eigenaars Residentie Arnaud te Wingene, Oude Bruggestraat 24 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,01/09/2017,Oude Bruggestraat,24,,8750,Wingene,Oude Bruggestraat 24 8750 Wingene,,,,24+,Yes
10,402683721,402.683.721,3M Belgium,3M Belgium SRL,Société à responsabilité limitée,SRL,129,28/03/1963,Hermeslaan,7,,1831,Machelen (Brab.),Hermeslaan 7 1831 Machelen (Brab.),,,,3M Belgium,Yes
11,426279168,426.279.168,A.M.L.,A.M.L. SRL,Société à responsabilité limitée,SRL,129,26/09/1984,Emiel Vloorsstraat,9,,2020,Antwerpen,Emiel Vloorsstraat 9 2020 Antwerpen,,,,A.M.L.,Yes
12,473617346,473.617.346,AML CLINICAL SERVICES,AML CLINICAL SERVICES SRL,Société à responsabilité limitée,SRL,129,27/12/2000,Tempelzicht(LIN),8,,3210,Lubbeek,Tempelzicht(LIN) 8 3210 Lubbeek,,,,A.M.L.,No
13,637730260,637.730.260,AML Europe,AML Europe SPRL,Société privée à responsabilité limitée,SPRL,13,14/09/2015,Avenue de la Pinède,10,,1380,Lasne,Avenue de la Pinède 10 1380 Lasne,,,,A.M.L.,No
14,643502453,643.502.453,AML,AML SPRL,Société privée à responsabilité limitée,SPRL,13,20/11/2015,Sint-Truidersteenweg,537,,3500,Hasselt,Sint-Truidersteenweg 537 3500 Hasselt,,,,A.M.L.,Yes
15,647665337,647.665.337,AML Company,AML Company SRL,Société à responsabilité limitée,SRL,129,01/02/2016,Kleine Heresteeg,87,2,3530,Houthalen-Helchteren,Kleine Heresteeg 87 2 3530 Houthalen-Helchteren,,,,A.M.L.,Yes
16,653859083,653.859.083,AML & C°,AML & C° SCRL,Société coopérative à responsabilité limitée,SCRL,6,09/05/2016,Meere Goor,9,,2460,Kasterlee,Meere Goor 9 2460 Kasterlee,,,,A.M.L.,Yes
17,654891936,654.891.936,Arno Management limited (AML),Arno Management limited (AML),Entité étrangère,,27,23/05/2016,Elia Zammit Street,-,,3155,St. Julians,Elia Zammit Street - 3155 St. Julians,,,,A.M.L.,No
18,665803743,665.803.743,AML MANAGEMENT,AML MANAGEMENT SRL,Société à responsabilité limitée,SRL,129,07/11/2016,Boulevard Sylvain Dupuis,356,2,1070,Anderlecht,Boulevard Sylvain Dupuis 356 2 1070 Anderlecht,,,,A.M.L.,Yes
19,670726393,670.726.393,MS Amlin Marine,MS Amlin Marine SA,Société anonyme,SA,12,31/12/2008,Boulevard du Roi AlbertII,37,,1030,Schaerbeek,Boulevard du Roi AlbertII 37 1030 Schaerbeek,,,,A.M.L.,Yes
20,676472555,676.472.555,AML MOTORS,AML MOTORS SComm,Société en commandite simple,SComm,10,01/06/2017,Boutersemdreef,30A,,2240,Zandhoven,Boutersemdreef 30A 2240 Zandhoven,,,,A.M.L.,Yes
21,475295446,475.295.446,ABLYNX,ABLYNX SA,Société anonyme,SA,12,13/07/2001,Technologiepark-Zwijnaarde,21,,9052,Gent,Technologiepark-Zwijnaarde 21 9052 Gent,,,,ABLYNX,Yes
22,427191463,427.191.463,ACCENT,ACCENT ASBL,Association sans but lucratif,ASBL,15,22/02/1985,Vijversstraat,52,,3500,Hasselt,Vijversstraat 52 3500 Hasselt,,,,ACCENT GROUP,Yes
23,428014379,428.014.379,Accent,Accent SA,Société anonyme,SA,12,14/11/1985,Westlaan,2,,8560,Wevelgem,Westlaan 2 8560 Wevelgem,,,,ACCENT GROUP,Yes
24,435216234,435.216.234,ACCENT,ACCENT SRL,Société à responsabilité limitée,SRL,129,20/09/1988,Waversesteenweg,41,,2580,Putte,Waversesteenweg 41 2580 Putte,,,,ACCENT GROUP,Yes
25,435807142,435.807.142,ACCENT,ACCENT SPRL,Société privée à responsabilité limitée,SPRL,13,14/11/1988,Nowélei (Jean Baptiste),49,,1800,Vilvoorde,Nowélei (Jean Baptiste) 49 1800 Vilvoorde,,,,ACCENT GROUP,Yes
26,476762126,476.762.126,FIRST - ACCENT,FIRST - ACCENT SRL,Société à responsabilité limitée,SRL,129,05/02/2002,Voorstehoeve,2,,1730,Asse,Voorstehoeve 2 1730 Asse,bastiaan.asselman@first-accent.be,0485 644 117,,ACCENT GROUP,Yes
27,476971467,476.971.467,ACCENT - INTERIEUR,ACCENT - INTERIEUR SRL,Société à responsabilité limitée,SRL,129,03/03/2002,Industrieweg-Zuid,1362,,3520,Zonhoven,Industrieweg-Zuid 1362 3520 Zonhoven,,,,ACCENT GROUP,Yes
28,525677840,525.677.840,Accent Packaging Inc,Accent Packaging Inc,Entité étrangère,,27,01/02/2013,Fm 2920 Road,10131,,77375,Tomball TX,Fm 2920 Road 10131 77375 Tomball TX,,,,ACCENT GROUP,No
29,555979353,555.979.353,ACCENT Hotels,ACCENT Hotels SPRL,Société privée à responsabilité limitée,SPRL,13,24/06/2014,Kwadestraat,149B,,8800,Roeselare,Kwadestraat 149B 8800 Roeselare,,,,ACCENT GROUP,Yes
30,631938667,631.938.667,Accent Jobs For People bv,Accent Jobs For People bv,Entité étrangère,,27,24/02/2014,Tramsingel,15,,4814 AB,Breda,Tramsingel 15 4814 AB Breda,,,,ACCENT GROUP,No
31,681756184,681.756.184,VCC Accent,VCC Accent SPRL,Société privée à responsabilité limitée,SPRL,13,26/09/2017,Rue de Verrewinkel,69,,1180,Uccle,Rue de Verrewinkel 69 1180 Uccle,,,,ACCENT GROUP,Yes
