Naam bedrijf,Datum laatst gecontacteerd,Status,company_cleaned,UID
Advipro,08/08/2024,Hot prospect,advipro,PL1
Telenet,12/01/2024,Prospect,telenet,PL2
BASF,11/01/2024,Prospect,basf,PL3
Board of Innovation,x,Prospect,board of innovation,PL4
JBC - ClaesRetail,04/09/2024,Prospect,jbc  claesretail,PL5
Collectief,04/09/2024,Prospect,collectief,PL6
Torfs,05/03/2024,Prospect,torfs,PL7
ePact,29/08/2024,Prospect,epact,PL8
Whatscooking,28/08/2024,Prospect,whatscooking,PL9
Maes Industries,21/08/2024,Prospect,maes industries,PL10
Groep Maes,21/08/2024,Prospect,maes,PL11
IKEA,21/08/2024,Prospect,ikea,PL12
TPO Agency,21/08/2024,Prospect,tpo agency,PL13
Manuchar,14/08/2024,Prospect,manuchar,PL14
Gemeente Aalter,18/01/2024,Prospect,gemeente aalter,PL15
Van Lanschot,14/08/2024,Prospect,van lanschot,PL16
MobilityPlus,14/08/2024,Prospect,mobilityplus,PL17
De Vijver VZW,14/05/2024,Prospect,de vijver,PL18
ChipSoft België,20/02/2024,Prospect,chipsoft belgi,PL19
HH Global,09/08/2024,Prospect,hh global,PL20
Sereni,31/05/2024,Prospect,sereni,PL21
RecruitrLAB,14/05/2024,Prospect,recruitrlab,PL22
Carglass,26/06/2024,Klant,carglass,PL23
Pfizer Hoofdzetel België & Luxemburg,30/01/2024,Prospect,pfizer hoofdzetel belgi  luxemburg,PL24
Argenta,16/03/2023,Prospect,argenta,PL25
Spindle,23/01/2024,Prospect,spindle,PL26
Digipolitans,09/08/2024,Hot prospect,digipolitans,PL27
Insilencio,08/08/2024,Prospect,insilencio,PL28
ION,08/08/2024,Prospect,ion,PL29
NexusHealth,01/12/2023,Prospect,nexushealth,PL30
Scania Nederland,24/11/2023,Prospect,scania nederland,PL31
Drix,25/12/2023,Prospect,drix,PL32
TheValueChain Gumption,10/06/2024,Prospect,thevaluechain gumption,PL33
Goed,12/12/2023,Prospect,goed,PL34
Autajon Labels Belgium,31/10/2023,Prospect,autajon labels belgium,PL35
Tec NV,02/11/2023,Prospect,tec,PL36
Nexios IT,22/11/2023,Prospect,nexios it,PL37
Movify,27/06/2024,Prospect,movify,PL38
NMBS-SNCB,29/11/2023,Prospect,nmbssncb,PL39
Yontec NV,06/12/2023,Prospect,yontec,PL40
Era Belgium,11/12/2023,Prospect,era belgium,PL41
4P square,12/12/2023,Prospect,4p square,PL42
Motrac,12/12/2023,Prospect,motrac,PL43
Medpace,28/12/2023,Prospect,medpace,PL44
Aldi,23/05/2024,Prospect,aldi,PL45
Het Rode Kruis,08/12/2023,Prospect,het rode kruis,PL46
Savaco,08/08/2024,Klant,savaco,PL47
DSM Keukens,12/12/2023,Prospect,dsm keukens,PL48
Van den Broele,20/12/2023,Prospect,van den broele,PL49
O2O,09/01/2024,Prospect,o2o,PL50
Auto1 Group,08/08/2024,Prospect,auto1,PL51
Stad Aalst,12/01/2024,Prospect,stad aalst,PL52
O'learys,08/01/2024,Prospect,olearys,PL53
Gorilla,08/01/2024,Prospect,gorilla,PL54
Covestro,26/06/2024,Nieuwe klant,covestro,PL55
Multi Engineering,11/06/2024,Prospect,multi engineering,PL56
astara Western Europe NV,08/01/2024,Prospect,astara western europe,PL57
ABB NV,09/01/2024,Prospect,abb,PL58
3D-ICT,10/01/2024,Prospect,3dict,PL59
Febelco,31/07/2024,Klant,febelco,PL60
TriFinance,29/07/2024,Klant,trifinance,PL61
Optimile,24/07/2024,Prospect,optimile,PL62
The Belgian,17/01/2024,Prospect,the belgian,PL63
Abylsen,07/06/2024,Prospect,abylsen,PL64
Halito - Invitedesk,24/07/2024,Prospect,halito  invitedesk,PL65
Ciner Glass Belgium,15/01/2024,Prospect,ciner glass belgium,PL66
Quatra,15/01/2024,Prospect,quatra,PL67
Dynalogic,18/01/2024,Prospect,dynalogic,PL68
TecQuality,18/01/2024,Prospect,tecquality,PL69
Teach for Belgium,23/01/2024,Prospect,teach for belgium,PL70
Brand Activators,19/01/2024,Prospect,brand activators,PL71
AXA Belgium,05/06/2024,Prospect,axa belgium,PL72
Delhaize,22/07/2024,Prospect,delhaize,PL73
Lemon,19/07/2024,prospect,lemon,PL74
Lancesoft Europe,04/07/2024,Prospect,lancesoft europe,PL75
Sofico,31/01/2024,Prospect,sofico,PL76
Mext group,11/01/2024,Prospect,mext,PL77
Q Team,23/01/2024,Prospect,q team,PL78
Sligro,21/06/2024,Prospect,sligro,PL79
Lansweeper,24/01/2024,Prospect,lansweeper,PL80
Stadim,06/05/2024,Prospect,stadim,PL81
Katoen natie,05/10/2023,Prospect,katoen natie,PL82
Reynaers Aluminium,21/06/2024,Prospect,reynaers aluminium,PL83
Beko Belgium,05/12/2023,Prospect,beko belgium,PL84
VAN IN,19/06/2024,Prospect,van in,PL85
Boels Rental,11/12/2023,Prospect,boels rental,PL86
Toyota Material Handling,13/12/2023,Prospect,toyota material handling,PL87
Mensura,19/06/2024,Prospect,mensura,PL88
Lidl,08/05/2024,Prospect,lidl,PL89
IDEWE,19/06/2024,Prospect,idewe,PL90
Gilbert de Clerck,18/12/2023,Prospect,gilbert de clerck,PL91
Spacewell,21/12/2023,Prospect,spacewell,PL92
OLV Aalst,21/12/2023,Prospect,olv aalst,PL93
ACC,28/12/2023,Prospect,acc,PL94
Atlas Copco,04/01/2023,Prospect,atlas copco,PL95
Bank Van Breda,06/08/2024,Klant,bank van breda,PL96
Education First ,19/06/2024,Prospect,education first,PL97
ElmosExpert,12/01/2024,Prospect,elmosexpert,PL98
DSV,21/12/2023,Prospect,dsv,PL99
PIA Group,23/07/2024,Klant,pia,PL100
Aphea.Bio,23/08/2024,Prospect,apheabio,PL101
Conway,20/12/2023,Klant,conway,PL102
Monin-it,05/09/2024,Hot prospect,moninit,PL103
The Frontline Company BVBA,18/01/2024,Prospect,the frontline,PL104
Lannoo,10/06/2024,Prospect,lannoo,PL105
DPG Media,21/08/2024,Prospect,dpg media,PL106
TMS Industrial Services,03/01/2024,Prospect,tms industrial services,PL107
Actum Services,04/01/2024,Prospect,actum services,PL108
Agristo,05/01/2024,Prospect,agristo,PL109
Melexis,06/06/2024,Prospect,melexis,PL110
Anoa Care,05/01/2024,Prospect,anoa care,PL111
TechWolf,08/01/2024,Prospect,techwolf,PL112
Brussels Airport Company,08/01/2024,Prospect,brussels airport,PL113
Natuurpunt,08/01/2024,Prospect,natuurpunt,PL114
Verhelst Group,08/01/2024,Prospect,verhelst,PL115
Korian,09/01/2024,Prospect,korian,PL116
Yuki Visma,20/08/2024,Prospect,yuki visma,PL117
Toqua,10/01/2024,Prospect,toqua,PL118
Bakkerij Aernoudt,12/01/2024,Prospect,bakkerij aernoudt,PL119
STADSBADER CONTRACTORS BV,12/01/2024,Prospect,stadsbader contractors,PL120
USG Professionals,06/06/2024,Prospect,usg professionals,PL121
Igean Milieu & Veiligheid,16/01/2024,Prospect,igean milieu  veiligheid,PL122
Centric,16/01/2024,Prospect,centric,PL123
Verisure,08/01/2024,Prospect,verisure,PL124
Puratos,10/01/2024,Prospect,puratos,PL125
Springbok Agency,09/01/2024,Prospect,springbok agency,PL126
Soubry,15/01/2024,Prospect,soubry,PL127
threon,09/01/2024,Prospect,threon,PL128
Bayer,23/01/2024,Prospect,bayer,PL129
