UID,Company Name,Basisnaam,Salesnav,tRIfINACN,Textkernal ,Bizzy,Company Website,Company Domain,Domein,Company Industry,Company Specialities,Company Employee Count,Company Employee Range,Company Location,Company Linkedin URL,Company Type,Company Year Founded,Company Profile Picture,Company Description,In List?
SN1,Ab Inbev,abinbev,Salesnav,TriFinance,#N/A,#N/A,http://www.ab-inbev.com/,www.ab-inbev.com,ab-inbev,Manufacturing,"Beer production and sales, premium drinks, marketing, innovation, sustainability, social responsibility, brand management, beer, beverages, consumer goods, e-commerce",27768,10001+,"Leuven, Flemish Region, Belgium",https://www.linkedin.com/company/255188,Public Company,?,https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_400_400/company-logo_400_400/0/1656631574816/ab_inbev_logo?e=1733961600&v=beta&t=dVnLzJilwtCLkT7hFZF9b0KrUvyrn7dyQsBbTX2mpP0,"As a company, we dream big to create a future with more cheers. We are always looking to serve up new ways to meet life’s moments, move our industry forward and make a meaningful impact in the world. We are committed to building great brands that stand the test of time and to brewing the best beers using the finest ingredients.

Our diverse portfolio of well over 500 beer brands includes global brands Budweiser®, Corona® and Stella Artois®; multi-country brands Beck’s®, Hoegaarden®, Leffe® and Michelob ULTRA®; and local champions such as Aguila®, Antarctica®, Bud Light®, Brahma®, Cass®, Castle®, Castle Lite®, Cristal®, Harbin®, Jupiler®, Modelo Especial®, Quilmes®, Victoria®, Sedrin®, and Skol®.

Our brewing heritage dates back more than 600 years, spanning continents and generations. From our European roots at the Den Hoorn brewery in Leuven, Belgium. To the pioneering spirit of the Anheuser & Co brewery in St. Louis, US. To the creation of the Castle Brewery in South Africa during the Johannesburg gold rush. To Bohemia, the first brewery in Brazil.

Geographically diversified with a balanced exposure to developed and developing markets, we leverage the collective strengths of approximately 167,000 colleagues based in nearly 50 countries worldwide. ",Yes
SN2,Adb Safegate,adbsafegate,Salesnav,,#N/A,#N/A,http://www.adbsafegate.com,www.adbsafegate.com,adbsafegate,Aviation and Aerospace Component Manufacturing,"Airport Performance from approach to departure, Gate, Airfield, Tower, Service, Data Driven Integration, Advanced Analytics",1071,1001 to 5000,"Zaventem, Flemish Region, Belgium",https://www.linkedin.com/company/60530,Privately Held,?,https://media.licdn.com/dms/image/v2/C4E0BAQGYeOZXqnsiCg/company-logo_400_400/company-logo_400_400/0/1656322566327/adbsafegate_logo?e=1733961600&v=beta&t=xOqIHbNZ0BI-kI0ER1_ae8NRIdYLePwnJHDbwA0XHR4,"ADB SAFEGATE provides integrated solutions that raise efficiency, improve safety, boost environmental sustainability and reduce operational costs for airports, airlines and ANSPs. The company works with airports and airlines to solve operational bottlenecks, helping them navigate today’s challenges and prepare for tomorrow. Solutions encompass airfield lighting, power and control systems, smart airport and tower software solutions, intelligent docking automation and aftermarket services. 

ADB SAFEGATE is dedicated to providing its customers with the most environmentally friendly products, thereby enabling them to continuously improve the ecological footprint of the air transport industry. 

With 1,200 employees, ADB SAFEGATE serves over 2,500 airports in more than 175 countries, from the busiest and largest like Atlanta, Beijing, Dubai, Heathrow, Charles De Gaulle, Frankfurt, Istanbul, New Delhi and Changi to fast-growing airports across Asia and Africa.",Yes
SN3,Aertssen Group,aertssengroup,Salesnav,,#N/A,>30 vacatures,http://jobs.aertssen.be,jobs.aertssen.be,aertssen,Construction,"Transport, Logistics, Lifting, Crane rental, earthmoving, demolition, road construction, sewage works, hydraulic works, environmental, quarry mining, infrastructure works, machine rental, engineering, shutdown management, heavy loads, exceptional transport, multimodal, forwarding",586,1001 to 5000,"Stabroek, Flemish Region, Belgium",https://www.linkedin.com/company/1202004,Privately Held,1958,https://media.licdn.com/dms/image/v2/C4E0BAQE4Umi7-5ORAQ/company-logo_400_400/company-logo_400_400/0/1678716546130/aertssen_logo?e=1733961600&v=beta&t=-x-HbHzOcsfNVFc6z3KrKU4lKpQkeZdSwn2BMTsBQbQ,"For over 60 years Aertssen has been the authority in Belgium for infrastructure works, crane rental and exceptional transport. Our secret? People, Power and Passion to build on. 

Aannemingsbedrijf Aertssen
Over the years Aannemingsbedrijf Aertssen has built up expertise in many fields. Excavation, demolition works, sewerage and road construction, hydraulic engineering and environmental projects are just a few of our specialties. 

Aertssen Kranen
Aertssen Kranen lifts your projects to a higher level. With a modern crane fleet (25 to 700 tons) and trained operators, we do top-quality hoisting work. We don’t just deliver the crane and an operator, we advise our customers throughout the whole project and look for safe solutions and an efficient approach. 

Aertssen Transport & Logistics
Our focus? Transport of exceptional dimensions. Our costumers rely on our expertise throughout the entire project including advice regarding permits, storage and modification.

Want to know more? 
www.aertssen.be",Yes
SN4,Alpro,alpro,Salesnav,,#N/A,#N/A,https://www.alpro.com/,www.alpro.com,alpro,Food Production,"Plant based food & beverages, Innovation, Sustainable development, Performance oriented, People driven",762,1001 to 5000,"Ghent, Flemish Region, Belgium",https://www.linkedin.com/company/22912,Privately Held,1980,https://media.licdn.com/dms/image/v2/C4E0BAQH0mDpAY_Dqww/company-logo_400_400/company-logo_400_400/0/1630604652784/alpro_logo?e=1733961600&v=beta&t=acoxLj7Wiq6ngrebBj00IQXB5PCtXbDLCRUBwMlNA3E,"We were born plant-based, way back in 1980, and we’ve been banging that big, plant-based drum ever since. Our mission is the same now as it was then. To make delicious food that’s healthy for you and healthy for the planet.
We’ve come a long way since soya was the only plant-based kid on the block. From breakfast bowl to dreamy after dinner desserts, we’ve got you covered. We’ve added oats, rice, almonds, hazelnuts and coconut to our list of base ingredients. Good food starts with good ingredients. That’s why we shop local whenever we can and work closely with our farmers. Rainforest free non-GMO soya, Mediterranean almonds mostly watered by rain and naturally pollinated by insects, European oats, and the best hazelnuts, coconuts, rice and cashews we can find.
Who’d have thought that Belgian born Alpro would grow into something this big, all over Europe and in 50 countries around the world. In 2017 we joined the even bigger Danone family and added our plant-based placard to their ‘Food Revolution’ march. It’s a natural fit as we both share a single aim – what’s best for people and for the planet. 

In for a professional challenge? Join our vibrant teams and feel the Alpro vibe of positivism and openness, collaboration and passion for quality.
We believe that everyone has talent, something which comes natural to you. Your uniqueness is something which brings both excellence as well as energizes you. 
By joining us you will become part of one of the leading and most innovative food companies in the world, a diverse network of talents, with whom you’ll be able to share your experience and learn from theirs.
We have a lot in scope for you regarding learning and development, but we can also offer interesting mobility programs, many new positions and geographies, for those who like to grow.",Yes
SN5,Argenta,argenta,Salesnav,TriFinance,#N/A,#N/A,https://www.argenta.be,www.argenta.be,argenta,Banking,"Bankieren / Opérations bancaires, Sparen en beleggen / Épargne et Investissements, Verzekeren / Assurances, Lenen / Crédits",2315,1001 to 5000,"Antwerp, Flemish Region, Belgium",https://www.linkedin.com/company/13756,Privately Held,1956,https://media.licdn.com/dms/image/v2/D4E0BAQG9N0XjQN8FpA/company-logo_400_400/company-logo_400_400/0/1719233812475/argenta_logo?e=1733961600&v=beta&t=K5ck6IdKayNU6mf8J8UVnZWkAMXuxFEKaDWMLrvGEXA,"Argenta is een bank en verzekeraar in volle groei. In onze bijna 400 kantoren in België kun je terecht voor spaar- en beleggingsproducten, kredieten en verzekeringen. We luisteren naar je verhaal en leggen eenvoudig en duidelijk de mogelijkheden uit. Samen zoeken we de oplossing die bij je past. Regel je jouw geldzaken liever online? Dat kan met de Argenta-app. Of je nu naar het kantoor komt of online bankiert, we staan altijd dicht bij jou. Je kunt op ons rekenen. 

Ook op de Argenta-hoofdzetel in Antwerpen staan we dicht bij elkaar. De moderne hoofdzetel is een tweede thuis voor de meer dan 1.000 collega’s die elke dag hun talenten inzetten voor Argenta. ‘Argentanen’ noemen we hen. Maar Argentaan zijn is meer dan alleen maar werken bij Argenta. Wat je kent en kunt is belangrijk, maar even belangrijk is dat je samenwerkt met collega’s en klanten voorthelpt, dat je voor hen klaarstaat en gelooft in hen, jezelf en Argenta. Ook Argentaan worden? Ontdek onze vacatures op www.argenta.be/vacatures.
",Yes
SN6,Arvesta,arvesta,Salesnav,TriFinance,#N/A,Consultancy,http://www.arvesta.eu,www.arvesta.eu,arvesta,Farming,"Farming Industry, Retail, Agriculture, Horticulture, Animal Feed, John Deere",783,1001 to 5000,"Leuven, Flemish Region, Belgium",https://www.linkedin.com/company/41983,Privately Held,?,https://media.licdn.com/dms/image/v2/C4E0BAQEfzv2i888YYw/company-logo_400_400/company-logo_400_400/0/1673267339143/arvesta_logo?e=1733961600&v=beta&t=DyDJMYlZiD7me9cmQ5MR6um9upvEJ0axr1VT5lPXUFA,"Arvesta is building the agriculture of the future in a sustainable way. Thanks to our unique expertise and innovative smart-farming solutions, we help farmers grow and maximize their profitability. With 2,300 enthusiastic employees - each of which is an expert in their field - and more than 40 strong brands, Arvesta is a true knowledge centre for all types of farmers, as well as consumers. We offer expertise in agri-and horticulture, animal nutrition, flour, machines and retail with our 200 Aveve-shops, making us the biggest full-service partner for farmers and growers in Belgium backed by a strong international network that keeps on growing. 

By leading the way in digital farming, we want to offer farmers and growers the best possible solutions for the challenges they face. With more than 120 years of expertise, Arvesta can make a genuine difference for all elements in the agricultural supply chain. We are continually investing and innovating so we can offer the best solutions to our clients worldwide and build the agriculture of the future together.
",Yes
SN7,Attentia,attentia,Salesnav,,13,#N/A,http://www.attentia.be,www.attentia.be,attentia,Human Resources,"Payroll, HR, Health & Safety, Well-being",726,501 to 1000,"Ghent, Flemish Region, Belgium",https://www.linkedin.com/company/14692,Privately Held,2006,https://media.licdn.com/dms/image/v2/D4E0BAQF6B8sD6RIeiw/company-logo_400_400/company-logo_400_400/0/1710234648058/attentia_logo?e=1733961600&v=beta&t=yCMGG2JBXaFB4nvGJrK_M5EyITm1qdzlhpabOOdW080,"At Attentia, we always link our HR advice to well-being, protection, and prevention. By seeking the best solution together for each individual, we find the optimal solution for everyone.

Attentia has 40 offices and over 800 employees spread across the entire country. We are a growing and financially healthy company. More information is available at www.attentia.be.",Yes
SN8,Axi Group,axigroup,Salesnav,,#N/A,Consultancy,https://www.axi.be,www.axi.be,axi,Software Development,"Analytics & Insights, Microsoft PowerApps, Hybrid Cloud, API Management, Point Of Sale, Financial Solutions, Purchase To Pay, Enterprise Architecture, Oracle, Cloud migration, Healthcare solutions, IT management, E-voting, Adaptive Case Management, Modern Workplace, Retail Solutions, M365",420,201 to 500,"Willebroek, Flemish Region, Belgium",https://www.linkedin.com/company/11587,Privately Held,1985,https://media.licdn.com/dms/image/v2/C4E0BAQGwJFQ2XPiwNw/company-logo_400_400/company-logo_400_400/0/1630648265252/axi_logo?e=1733961600&v=beta&t=3rEpkQhwWaJRU0_6rRn8zUeyRd8ifEtcerh5GdI2M9Y,"AXI is a software and IT company with offices in the Netherlands and Belgium.
We offer innovative software and IT solutions for retail, healthcare, service, industry and public services. Contributing to your success.  Dedicated to your vision.",Yes
SN9,Axxes It Consultancy,axxesitconsultancy,Salesnav,,#N/A,Consultancy,https://www.axxes.com,www.axxes.com,axxes,IT Services and IT Consulting,"IT Consultancy, Software Engineering, Software Testing, Project Management, System Engineering, Front End Development, Java, .NET, IT projects, Data",342,201 to 500,"Antwerp, Flemish Region, Belgium",https://www.linkedin.com/company/54226,Privately Held,1998,https://media.licdn.com/dms/image/v2/C560BAQHvLgJjmFUVYA/company-logo_400_400/company-logo_400_400/0/1630656432200/axxes_logo?e=1733961600&v=beta&t=VzzdUgnrNK90k6fEnX8tnIErVxBQaaPkzZEwEA56j34,"As a consultancy company, Axxes offers complete solutions for any ICT staffing needs. We ensure this on the one hand by making ICT professionals temporarily available through Axxes NV, and on the other hand by helping clients recruit and select permanent ICT staff through our sister company AT Recruitment bvba (www.atrecruitment.be). 

Our service is based on expertise, speed, flexibility and loyalty. Long term customer relationships prove the success of our partnerships. To emphasize our dynamic and open nature we have a name that speaks for itself and which is an expression of accessibility.

IT is about people! Axxes connects people and projects. Our culture determines the way in which we collaborate. A people-oriented approach with respect for our DNA is essential in this collaboration process. Quality, Growth and a Feel Good mentality constitute the basis of our daily activities and enterprise. This DNA is why our customers and our staff enjoy working with and for Axxes. 

We are located in Belgium and The Netherlands, which is were the most of our clients are active.

What we do:
?.NET Development
?Java Development
?Front End Development
?Infrastructure
?Software Testing
?Project Management
?Data",Yes
SN10,Azelis,azelis,Salesnav,TriFinance,#N/A,#N/A,https://www.azelis.com,www.azelis.com,azelis,Chemical Manufacturing,"Specialty Chemicals, Distribution, Value Added Services, Technical Expertise",2470,1001 to 5000,"Antwerp, Flemish Region, Belgium",https://www.linkedin.com/company/596464,Privately Held,?,https://media.licdn.com/dms/image/v2/C4E0BAQF2OD_eyk80FQ/company-logo_400_400/company-logo_400_400/0/1631322445359?e=1733961600&v=beta&t=xenXav1YWM7b-Y2F0jCTwWKRQRnTEZ2KgbBICcyuN4U,"As a leading global innovation service provider in the specialty chemicals and food ingredients industry, we are committed to creating value for principals and customers whilst providing a great work environment and career opportunities.

Azelis has 4,200+ employees across 65 countries worldwide. We work with around 2,800 principals to provide a diverse range of innovative products/services to 63,000+ customers.

Our industry-dedicated sales teams have specialist product and application knowledge, combined with business know-how, enabling us to add value in all business relationships. 

We’re always looking to add new talent to our team and encourage and support the personal and professional growth of all employees. 

Specialties include:

Life Sciences: Personal Care, Home Care & Industrial Cleaning, Pharma & Healthcare, Food & Nutrition, Animal Nutrition, Agricultural & Environmental
Industrial Chemicals: CASE, Electronics, Essential Chemicals, Fine Chemicals, Advanced Materials & Additives, Chemicals, Lubricants & Metal Working Fluids, Other Applications, Textiles, Leather & Paper

At Azelis, our partnerships with customers and principals remain at the heart of our activities.  As a leading global innovation service provider, our entrepreneurial approach to doing business is reflected in our can-do attitude. 

Across our network of more than 70 application laboratories, our award-winning staff help develop formulations and provide technical guidance along the customers’ product development process. We combine a global market reach with a local footprint to offer a reliable, integrated and unique digital service to customers and attractive business opportunities to principals. 

Striving to create a positive impact on the environment and communities around the world, we are top-industry-rated by Sustainalytics. Azelis is a leader in sustainability.

We aim to provide effective, sustainable, and reliable solutions.  Our business is your business.",Yes
