List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
TPO Agency,TPO Agency,1.0,1.0,1.0
Bluecrux,Bluu,0.7766666666666667,0.8833333333333334,0.67
Bluecrux,Bluecrux,1.0,1.0,1.0
Biztory,Biztory,1.0,1.0,1.0
IMPACT,ePact,0.7761111111111112,0.8222222222222223,0.73
IMPACT,IMPACT,1.0,1.0,1.0
IMPACT,We are Impact Collective,0.8194444444444444,0.6388888888888888,1.0
IMPACT,IMEC,0.7,0.8,0.6
IMPACT,Impact Sales & Marketing Belux,0.925,0.85,1.0
Ici Paris XL,Ici Paris XL,1.0,1.0,1.0
Sea Tank Terminal,Sea Tank Terminal,1.0,1.0,1.0
Dego Verzekeringen,P&V Panels ( en niet P&V Verzekeringen ),0.6737457912457913,0.5074915824915825,0.84
Dego Verzekeringen,KBC Verzekeringen,0.7971226268285092,0.7242452536570184,0.87
Dego Verzekeringen,P & V Verzekeringen,0.7826747424115845,0.695349484823169,0.87
Axilium,Axilium,1.0,1.0,1.0
Axilium,AXI,0.7333333333333334,0.8666666666666668,0.6
Credon,Kreon,0.7761111111111112,0.8222222222222223,0.73
Credon,Credon,1.0,1.0,1.0
Credon,Creadomus,0.7637037037037038,0.8574074074074074,0.67
Credon,Credix,0.7683333333333333,0.8666666666666666,0.67
Jansen Group - Maes Industrie,Groep Maes,0.8206521739130435,0.6413043478260869,1.0
Jansen Group - Maes Industrie,Maes Industries,0.7792512077294687,0.7285024154589372,0.83
Brussels Airport Company,Brussels Airport Company,1.0,1.0,1.0
Monin-it,Monin-it,1.0,1.0,1.0
Novartis,Novartis,1.0,1.0,1.0
Novartis,Biocartis,0.7577777777777777,0.8055555555555555,0.71
SD Worx,SD Worx,1.0,1.0,1.0
Grand Vision Belgium,Grand Vision Belgium,1.0,1.0,1.0
Grand Vision Belgium,Grand Opticiens Belgium,0.7418181818181818,0.8936363636363637,0.59
iBanFirst,iBanFirst,1.0,1.0,1.0
Smulders,Smulders,1.0,1.0,1.0
Smulders,Smals,0.7166666666666666,0.8133333333333332,0.62
Azelis,Azelis,1.0,1.0,1.0
Unit-T,Unit-T,1.0,1.0,1.0
AZ Herentals,Haerens Group,0.7217460317460318,0.8134920634920636,0.63
AZ Herentals,AZ Herentals,1.0,1.0,1.0
Vanlanschot,Van Lanschot,0.8537121212121213,0.8674242424242425,0.84
Manuchar,Manuchar,1.0,1.0,1.0
Digipolitans,Digipolitans,1.0,1.0,1.0
Digipolitans,Digipolis,0.905,0.95,0.86
Digipolitans,digi,0.6833333333333333,0.8666666666666666,0.5
Advipro,Advipro,1.0,1.0,1.0
Recruitment Architects,Remant Transport Architects,0.7551146384479718,0.5102292768959436,1.0
Recruitment Architects,Recruitment Architects,1.0,1.0,1.0
Recruitment Architects,Arcadis,0.7033333333333334,0.8166666666666667,0.59
Recruitment Architects,Arcadis Belgium,0.7033333333333334,0.8166666666666667,0.59
Aertssen,Haerens Group,0.7417460317460318,0.8134920634920636,0.67
Aertssen,Aertssen,1.0,1.0,1.0
Option Media,Optimile,0.7016666666666667,0.8333333333333334,0.57
Option Media,Gumption Group,0.7647222222222223,0.8194444444444445,0.71
Option Media,Option Media,1.0,1.0,1.0
HH Global,G4S Global,0.7891534391534392,0.7783068783068784,0.8
HH Global,HH Global,1.0,1.0,1.0
HH Global,PPD Global Central Labs,0.7470209339774557,0.6940418679549114,0.8
HH Global,DHL Global Forwarding,0.7158068783068783,0.6316137566137566,0.8
Xylos,Xylos NV,1.0,1.0,1.0
Antenno,Antenno,1.0,1.0,1.0
Antenno,Antea Belgium,0.7721428571428572,0.8742857142857143,0.67
Antenno,Antea Group,0.7721428571428572,0.8742857142857143,0.67
Hansea,Hansea,1.0,1.0,1.0
Hansea,Antea Belgium,0.7761111111111112,0.8222222222222223,0.73
Hansea,Antea Group,0.7761111111111112,0.8222222222222223,0.73
Hansea,Hansen Industrial Transmissions,0.5793548387096774,0.8387096774193548,0.32
Multi Engineering,Multi Engineering,1.0,1.0,1.0
