List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
Thomaes,THOMAS ET PIRON HOME SA,0.6161490683229813,0.8322981366459627,0.4
Thomaes,THOMASSEN et Fils SPRL,0.6225324675324675,0.8350649350649351,0.41
Thomaes,Thomas & Piron RENOVATION SA,0.5907142857142857,0.8214285714285715,0.36
HOOYBERGHS,HOOYBERGHS NV,1.0,1.0,1.0
HOUBEN,HOUBEN NV,1.0,1.0,1.0
Dillen Invest,Dillen Bouwteam NV,0.7331196581196582,0.8362393162393162,0.63
ALGEMENE BOUW MAES,Algemene Ondernemingen Himpe NV,0.7209584859584859,0.8219169719169719,0.62
ALGEMENE BOUW MAES,Algemene Bouw Deblaere BV,0.866638888888889,0.8932777777777778,0.84
ALGEMENE BOUW MAES,Algemene Bouwonderneming Cogghe en Cie NV,0.7347441520467837,0.8494883040935672,0.62
ALGEMENE BOUW MAES,ALGEMENE ONDERNEMING DRIESEN NV,0.7306349206349206,0.8412698412698413,0.62
ALGEMENE BOUW MAES,Algemene Bouwondernemingen Marcel Everaert-Cooreman NV,0.7318954248366013,0.8437908496732026,0.62
ALGEMENE BOUW MAES,Algemene Ondernemingen August Van Cauter NV,0.7308333333333333,0.8416666666666667,0.62
ALGEMENE BOUW MAES,ALGEMENE ONDERNEMINGEN HERMANS en Co NV,0.7283333333333333,0.8366666666666667,0.62
ALGEMENE BOUW MAES,ALGEMENE BOUW- EN BETONWERKEN VANEENOO NV,0.8447441520467835,0.8494883040935672,0.84
ALGEMENE BOUW MAES,ALHEEMBOUW NV,0.6901851851851852,0.8103703703703704,0.57
ALGEMENE BOUW MAES,ALGEMENE BOUWONDERNEMING DESPIERRE FILIP BV,0.7380969752241981,0.8561939504483964,0.62
ALGEMENE BOUW MAES,ALGEMENE BOUWONDERNEMING HERWEYERS NV,0.748562091503268,0.8771241830065359,0.62
ALGEMENE BOUW MAES,Algemene Ondernemingen Van Tornhaut BVBA,0.7257962109575012,0.8315924219150025,0.62
ALGEMENE BOUW MAES,Algeco Belgium NV,0.6211111111111111,0.8222222222222222,0.42
ALGEMENE BOUW MAES,ALGEMENE BOUW MAES NV,1.0,1.0,1.0
DURABRIK BOUWBEDRIJVEN - DURABRIK ENTREPRISES DE C,DURABRIK BOUWBEDRIJVEN - DURABRIK ENTREPRISES DE CONSTRUCTION NV,0.9660344827586207,0.9620689655172414,0.97
Stad Mortsel,STADSBADER NV,0.594047619047619,0.8280952380952381,0.36
SMET GWT EUROPE,SMET - TUNNELLING NV,0.7452941176470589,0.8205882352941177,0.67
D'HULST,DHULST' NV,0.9171428571428571,0.9142857142857143,0.92
EQUANS SA,VALENS SA,0.7371164021164021,0.8042328042328042,0.67
EQUANS SA,EQUANS NV,0.9666666666666667,0.9333333333333333,1.0
Denys,Denys NV,1.0,1.0,1.0
FRANKI  CONSTRUCT,FRANKI  CONSTRUCT SA,0.9842105263157894,0.968421052631579,1.0
FRANKI  CONSTRUCT,FRANKI SA,0.8388888888888889,0.8777777777777778,0.8
FRANKI  CONSTRUCT,FRANCOVERA NV,0.56875,0.8275,0.31
DELTA CONSULTING,DETRAC NV,0.7938888888888889,0.8577777777777779,0.73
