List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
ABETEC ARCHITECTEN & INGENIEURS,ABETEC ARCHITECTEN & INGENIEURS,1,1,1
ALGEMENE BOUW MAES,ALGEMENE BOUW MAES,1,1,1
Algemene Ondernemingen Soetaert,Algemene Ondernemingen Soetaert,1,1,1
ARCADIS BELGIUM,ARCADIS BELGIUM,1,1,1
ASSA ABLOY,ASSA ABLOY,1,1,1
BAM Interbuild,BAM Interbuild,1,1,1
BASF Antwerpen,BASF Antwerpen,1,1,1
Beheersmaatschappij Antwerpen Mobiel,Beheersmaatschappij Antwerpen Mobiel,1,1,1
BELTHERM,BELTHERM,1,1,1
Beneens bouw en interieur,Beneens bouw en interieur,1,1,1
BOLCKMANS,BOLCKMANS,1,1,1
BOUW- EN HOUTONDERNEMING VERSTRAETE,BOUW- EN HOUTONDERNEMING VERSTRAETE,1,1,1
BOUWBEDRIJF DETHIER,BOUWBEDRIJF DETHIER,1,1,1
BOUWONDERNEMING CHRISTIAENS,BOUWONDERNEMING CHRISTIAENS,1,1,1
Bouwonderneming Haex,Bouwonderneming Haex,1,1,1
BPC Group,BPC Group,1,1,1
CAAAP,CAAAP,1,1,1
CONIX RDBM ARCHITECTS,CONIX RDBM ARCHITECTS,1,1,1
DCA,DCA,1,1,1
DE VLAAMSE WATERWEG,DE VLAAMSE WATERWEG,1,1,1
Denys,Denys,1,1,1
"DREDGING, ENVIRONMENTAL & MARINE ENGINEERING","DREDGING, ENVIRONMENTAL & MARINE ENGINEERING",1,1,1
ENTREPRISES GENERALES DHERTE,ENTREPRISES GENERALES DHERTE,1,1,1
FRANKI  CONSTRUCT,FRANKI  CONSTRUCT,1,1,1
Geo-IT,Geo-IT,1,1,1
GROEP VAN ROEY,GROEP VAN ROEY,1,1,1
HOOYBERGHS,HOOYBERGHS,1,1,1
IBENS,IBENS,1,1,1
INGENIUM,INGENIUM,1,1,1
MATHIEU GIJBELS,MATHIEU GIJBELS,1,1,1
MBG,MBG,1,1,1
OOMS WOONREALISATIES,OOMS WOONREALISATIES,1,1,1
SANITECHNIEK,SANITECHNIEK,1,1,1
SGS BELGIUM,SGS BELGIUM,1,1,1
SWECO BELGIUM,SWECO BELGIUM,1,1,1
THYS BOUWPROJECTEN,THYS BOUWPROJECTEN,1,1,1
TRACTEBEL ENGINEERING,TRACTEBEL ENGINEERING,1,1,1
V.M.A.,V.M.A.,1,1,1
Van Laere,Van Laere,1,1,1
VANHOUT,VANHOUT,1,1,1
VUYLSTEKE - EIFFAGE,VUYLSTEKE - EIFFAGE,1,1,1
WILLEMEN CONSTRUCT,WILLEMEN CONSTRUCT,1,1,1
WILLY NAESSENS INDUSTRIEBOUW,WILLY NAESSENS INDUSTRIEBOUW,1,1,1
WYCOR,WYCOR,1,1,1
ASSAR BE ARCHITECTS srl,ASSAR BE ARCHITECTS,0.982608696,0.965217391,1
EQUANS SA,EQUANS,0.966666667,0.933333333,1
HOOYBERGHS HVAC,HOOYBERGHS,0.966666667,0.933333333,1
ARCADIS BELGIUM HOLDING,ARCADIS BELGIUM,0.965217391,0.930434783,1
PM GROUP BELGIUM,PM GROUP BELGIUM SERVICES,0.964,0.928,1
Haven van Antwerpen - Brugge (Port of Antwerp - Br,Haven van Antwerpen - Brugge,0.952173913,0.904347826,1
DEMOCO GROUP,DEMOCO,0.95,0.9,1
VK ENGINEERING Part of Sweco,VK ENGINEERING,0.95,0.9,1
VUYLSTEKE - EIFFAGE,VUYLSTEKE,0.947368421,0.894736842,1
FRANKI  CONSTRUCT,FRANKI,0.9375,0.875,1
PM GROUP BELGIUM,DPS GROUP BELGIUM,0.92497549,0.93995098,0.91
DCA,DCA INFRA,0.922222222,0.844444444,1
D'HULST,DHULST',0.917142857,0.914285714,0.92
EQUANS SA,EQUANS Services,0.842222222,0.884444444,0.8
JAN DE NUL,Jan De Nul,0.833333333,0.666666667,1
THOMAS & PIRON HOLDING,THOMAS ET PIRON HOME,0.827727273,0.905454545,0.75
ARCHIPELAGO GROUPE,ARCHIPELAGO ARCHITECTS,0.821414141,0.882828283,0.76
WILLEMEN CONSTRUCT,WILLEMEN GROEP,0.795591631,0.861183261,0.73
COLRUYT GROUP SERVICES,Colruyt Group,0.727855478,0.455710956,1
JAN DE NUL,Jan De Nul Dredging,0.727192982,0.454385965,1
Groep Huyzentruyt,GROEP HUYZENTRUYT,0.725490196,0.450980392,1
GREISCH - COORDINATION & ETUDES,GREISCH INGENIERIE,0.70172043,0.82344086,0.58
