List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
HOUBEN,HOUBEN,1,1,1
VERELST INTERNATIONAL,Verelst International,1,1,1
EEG,EEG,1,1,1
MACHIELS BUILDING SOLUTIONS,MACHIELS BUILDING SOLUTIONS,1,1,1
N.V. BESIX S.A.,N.V. BESIX S.A.,1,1,1
DATA-BUILD,DATA-BUILD,1,1,1
ALHEEMBOUW,ALHEEMBOUW,1,1,1
BOUWBEDRIJF FURNIBO,BOUWBEDRIJF FURNIBO,1,1,1
Vandenbussche,Vandenbussche,1,1,1
DECAT Energy Technics,DECAT Energy Technics,1,1,1
CLIMA & PARTNERS,CLIMA & PARTNERS,1,1,1
ONEBIM,ONEBIM,1,1,1
BELCOTEC,BELCOTEC,1,1,1
BOLLINGER GROHMANN INGENIERIE,BOLLINGER GROHMANN INGENIERIE,1,1,1
NEY & PARTNERS - BXL,NEY & PARTNERS - BXL,1,1,1
BIM PLAN,BIM PLAN,1,1,1
CECOM CENTRE SA,CECOM CENTRE,0.98,0.96,1
TRACTEBEL ENGINEERING,Tractebel - TML,0.96,0.92,1
STRABAG BRVZ BVBA,STRABAG BELGIUM,0.958333333,0.916666667,1
STADSBADER CONTRACTORS,STADSBADER,0.945454545,0.890909091,1
Denys,DENYS GLOBAL,0.941666667,0.883333333,1
ARCH & TECO ENGINEERING,ARCH & TECO ASSET MANAGEMENT,0.939285714,0.878571429,1
SWECO BELGIUM,SWECO - AMIRATO,0.933333333,0.866666667,1
WILLY NAESSENS INDUSTRIEBOUW,WILLY NAESSENS AGRO,0.87518797,0.90037594,0.85
