List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
HOUBEN,Houben,1,1,1
ODCM GROUP,Odcm,1,1,1
ENERDO,Enerdo,1,1,1
Denys,Denys,1,1,1
ESTABLIS GROUP,Establis,1,1,1
GROEP VAN ROEY,Van Roey,1,1,1
MACHIELS BUILDING SOLUTIONS,Machiels Building Solution,1,1,1
Bouwonderneming Haex,Bouwonderneming Haex,1,1,1
DEMOCO GROUP,Democo,1,1,1
ARTES GROUP,Artes,1,1,1
DATA-BUILD,Data-Build,1,1,1
ARCADIS BELGIUM,Arcadis,1,1,1
BOUWBEDRIJF DETHIER,Bouwbedrijf Dethier,1,1,1
VANHOUT,Vanhout,1,1,1
ASSAR LLOX ARCHITECTS,Assar Llox Architects,1,1,1
WILLEMEN CONSTRUCT,Willemen Construct,1,1,1
ARCHITECTEN - EN INGENIEURSBURO OSQB,Architecten - En Ingenieursburo Osqb,1,1,1
JAN DE NUL,Jan De Nul,1,1,1
M4 architecten en ingenieurs,M4 Architecten En Ingenieurs,1,1,1
CORDEEL GROUP,Cordeel,1,1,1
Vanderstraeten,Vanderstraeten,1,1,1
ARCH & TECO ENGINEERING,Arch & Teco,1,1,1
ALHEEMBOUW,Alheembouw,1,1,1
BOUWBEDRIJF FURNIBO,Bouwbedrijf Furnibo,1,1,1
IBENS,Ibens,1,1,1
CIT BLATON,CIT Blaton,1,1,1
Vandenbussche,Vandenbussche,1,1,1
TRACTEBEL ENGINEERING,Tractebel Engineering,1,1,1
INGENIUM,Ingenium,1,1,1
ASK Romein,ASK Romein,1,1,1
ISTEMA,Istema,1,1,1
ARCHIMEDES,Archimedes,1,1,1
WILLY NAESSENS INDUSTRIEBOUW,Willy Naessens Industriebouw,1,1,1
BOUWONDERNEMING CHRISTIAENS,Bouwonderneming Christiaens,1,1,1
STUDIEBUREEL HEEDFELD,Studiebureel Heedfeld,1,1,1
Studiebureau Technieken Bogaerts,Studiebureau Technieken Bogaerts,1,1,1
DETOO ARCHITECTS,Detoo Architects,1,1,1
TECCON,Teccon,1,1,1
BELCOTEC,Belcotec,1,1,1
ARCHITECTENBUREAU FRANK JOOSEN,Architectenbureau Frank Joosen,1,1,1
STUDIEBUREAU TECCLEM,Studiebureau Tecclem,1,1,1
JANSEN THE BUILDING COMPANY,Jansen the Building Company,1,1,1
Van Roey Vastgoed,Van Roey Vastgoed,1,1,1
RACO,Raco,1,1,1
Link Lab architecture,Link Lab Architecture,1,1,1
D-STUDIO,D-Studio,1,1,1
Odisee,Odisee,1,1,1
Artem,Artem,1,1,1
JACOPS,JACOPS,1,1,1
REYNDERS,Reynders,1,1,1
vanhout.pro,Vanhout.Pro,1,1,1
VAN MAERCKE PREFAB,Van Maercke Prefab,1,1,1
WILLEMEN INFRA,Willemen Infra,1,1,1
"STUDIO KLEIN BRABANT, ARCHITECTUUR EN INTERIEUR",Studio Klein Brabant Architectuur En Interieur,0.99787234,0.995744681,1
Arcade BIM,Arcade Engineering,0.96,0.92,1
STRABAG BRVZ BVBA,Strabag Belgium,0.958333333,0.916666667,1
Artes TWT,Artes,0.955555556,0.911111111,1
WYCKAERT,"Wyckaert, Geert",0.953333333,0.906666667,1
WILLEMEN FINANCE,Willemen Groep,0.95,0.9,1
"Vanhout, Kathy",Vanhout,0.95,0.9,1
ARCADIS BELGIUM HOLDING,Arcadis,0.946666667,0.893333333,1
STADSBADER CONTRACTORS,Stadsbader,0.945454545,0.890909091,1
Arch & Teco - Architectuur,Arch & Teco,0.942307692,0.884615385,1
DURABRIK WONINGBOUW,Durabrik,0.942105263,0.884210526,1
Artes Depret,Artes,0.941666667,0.883333333,1
SPIE - CGI,SPIE,0.94,0.88,1
Artes Roegiers,Artes,0.935714286,0.871428571,1
VERELST INTERNATIONAL,Verelst,0.933333333,0.866666667,1
Artes Woudenberg,Artes,0.93125,0.8625,1
MEVACO - BOUWBEDRIJF,Mevaco,0.93,0.86,1
DECAT Energy Technics,Decat,0.923809524,0.847619048,1
ABETEC ARCHITECTEN & INGENIEURS,Abetec,0.919354839,0.838709677,1
Haven van Antwerpen - Brugge (Port of Antwerp - Br,Antwerpen Haven,0.917857143,0.835714286,1
Deme Building Materials,DEME,0.917391304,0.834782609,1
DURABRIK BOUWBEDRIJVEN - DURABRIK ENTREPRISES DE C,Durabrik,0.917021277,0.834042553,1
VK ENGINEERING Part of Sweco,Vk,0.883333333,0.766666667,1
