List1_Name,List2_Name,combined similarity,jw_similarity,token_similarity
HOOYBERGHS,Hooyberghs,1,1,1
HOUBEN,HOUBEN,1,1,1
ODCM GROUP,ODCM GROUP,1,1,1
ALGEMENE BOUW MAES,Algemene Bouw Maes,1,1,1
Denys,Denys,1,1,1
ESTABLIS GROUP,Establis,1,1,1
GROEP VAN ROEY,Groep Van Roey,1,1,1
SWECO BELGIUM,Sweco,1,1,1
EEG,EEG GROUP,1,1,1
MBG,MBG,1,1,1
MACHIELS BUILDING SOLUTIONS,Machiels Building Solutions,1,1,1
DEMOCO GROUP,DEMOCO,1,1,1
Van Laere,Van Laere NV,1,1,1
ARTES GROUP,Artes Group,1,1,1
DATA-BUILD,Data-Build,1,1,1
ARCADIS BELGIUM,Arcadis,1,1,1
BOUWBEDRIJF DETHIER,Bouwbedrijf Dethier,1,1,1
VANHOUT,Vanhout,1,1,1
ASSAR LLOX ARCHITECTS,ASSAR LLOX ARCHITECTS,1,1,1
BULK ARCHITECTEN,BULK ARCHITECTEN,1,1,1
WILLEMEN CONSTRUCT,Willemen Construct,1,1,1
Overzicht Bvba,OVERZICHT,1,1,1
JAN DE NUL,Jan De Nul Group,1,1,1
CAAAP,CAAAP,1,1,1
DRIESKENS & DUBOIS ARCHITECTEN,Drieskens & Dubois architecten,1,1,1
SVR-ARCHITECTS,SVR-ARCHITECTS,1,1,1
Parallel Architecten,Parallel Architecten,1,1,1
COLRUYT GROUP SERVICES,Colruyt Group,1,1,1
studiov2,studiov2,1,1,1
CORDEEL GROUP,Cordeel Belgium,1,1,1
Vanderstraeten,Vanderstraeten NV,1,1,1
OOMS WOONREALISATIES,Ooms Woonrealisaties,1,1,1
ARCH & TECO ENGINEERING,ARCH & TECO,1,1,1
AIKO architecten en ingenieurs,AIKO architecten en ingenieurs,1,1,1
DELTHA,Deltha,1,1,1
ALHEEMBOUW,Alheembouw NV,1,1,1
Beneens bouw en interieur,Beneens bouw en interieur,1,1,1
BOUWBEDRIJF FURNIBO,Bouwbedrijf Furnibo,1,1,1
ABETEC ARCHITECTEN & INGENIEURS,ABETEC architecten & ingenieurs,1,1,1
IBENS,ibens,1,1,1
BOLCKMANS,Bolckmans NV,1,1,1
CIT BLATON,CIT Blaton,1,1,1
TRACTEBEL ENGINEERING,TRACTEBEL,1,1,1
Geo-IT,Geo-IT,1,1,1
INGENIUM,Ingenium,1,1,1
MATHIEU GIJBELS,Mathieu Gijbels,1,1,1
WYCOR,WYCOR,1,1,1
ENDES Engineering Services,ENDES,1,1,1
ARCHIMEDES,Archimedes,1,1,1
BOUWONDERNEMING CHRISTIAENS,Bouwonderneming Christiaens,1,1,1
STUDIEBUREEL HEEDFELD,Studiebureel Heedfeld,1,1,1
BPC Group,BPC,1,1,1
Groep Huyzentruyt,Groep Huyzentruyt,1,1,1
ONEBIM,Onebim,1,1,1
SECO GROUP,SECO GROUP,1,1,1
DETOO ARCHITECTS,DETOO ARCHITECTS,1,1,1
TECCON,Teccon bvba,1,1,1
CONIX RDBM ARCHITECTS,CONIX RDBM Architects,1,1,1
BELCOTEC,Belcotec,1,1,1
WASTIAU & Co ARCHITECTENBUREAU,Wastiau & Co Architectenbureau,1,1,1
PM GROUP BELGIUM,PM Group,1,1,1
STUDIEBUREAU TECCLEM,Studiebureau Tecclem,1,1,1
S3ARCHITECTEN,S3Architecten,1,1,1
OSAR ARCHITECTS NV,OSAR ARCHITECTS,1,1,1
WATER-LINK,water-link,1,1,1
Link Lab architecture,Link Lab Architecture,1,1,1
NEY & PARTNERS - BXL,NEY & PARTNERS - BXL,1,1,1
D-STUDIO,D-STUDIO,1,1,1
ABN Cleanroom Technology,ABN Cleanroom Technology NV,1,1,1
ARKANCE SYSTEMS BENELUX,Arkance Systems BeLux,1,1,1
MAISONS BLAVIER,Maisons Blavier,1,1,1
CoCEPTIO,CoCEPTIO,1,1,1
COLAS BELGIUM,COLAS,1,1,1
Artem,Artem,1,1,1
JACOPS,JACOPS NV,1,1,1
EKIUM BELGIUM,EKIUM Belgium,1,1,1
REYNDERS,Reynders,1,1,1
vanhout.pro,vanhout.pro,1,1,1
WILLEMEN INFRA,Willemen Infra,1,1,1
WITTEVEEN+BOS BELGIUM,Witteveen+Bos,1,1,1
JOS DEJONGH BOUWONDERNEMING,Jos Dejongh Bouwonderneming BV,0.99,0.98,1
VUYLSTEKE - EIFFAGE,Vuylsteke-Eiffage,0.989473684,0.978947368,1
BBSC - ARCHITECTS,BBSC ARCHITECTS bvba,0.988235294,0.976470588,1
