Ondernemingsnummer,BTW nummer,Aannemer,Erkenningsnummer,Straat,Postcode,Gemeente,Beslissingsdatum,Vervaldatum,Categorie/Klassen
0400481821,BE0400 481 821,Les Entreprises Générales Fernand Gillion et fils SA,00074,Rue Saint-Denis 132,B 1190,Forest,11/09/2020,,C (1) C1 (1) C2 (1) D (8) D1 (8) D4 (1) E (5) G (5) G2 (1)
0424905926,BE0424 905 926,VALENS SA,00028,Avenue Brugmann 27,B 1060,Saint-Gilles,10/10/2024,,D (8) D1 (8) D16 (8) D17 (7) D18 (7) D20 (8) D24 (8) D4 (7) E (8) E1 (8) E2 (8) F (7) F2 (7) G (5) G5 (4) P1 (7) P2 (5) P3 (5) S1 (5)
0463894481,BE0463 894 481,FRANKI  CONSTRUCT SA,00013,Chemin des Moissons 10,B 4400,Flémalle,17/02/2020,,A (5) B (8) B1 (8) C (8) C1 (8) C5 (5) D (8) D1 (8) D24 (1) D4 (6) E (8) E1 (8) E2 (8) F (8) F2 (8) G (8) G3 (5) H (8) P1 (8) P2 (6) P3 (6) S1 (6) V (7)
0405829588,BE0405 829 588,Les Entreprises Louis De Waele SA,00031,Chaussée de La Hulpe 185,B 1170,Watermael-Boitsfort,19/11/2021,,D (8) D1 (8) D10 (6) D11 (6) D13 (5) D16 (8) D17 (8) D18 (8) D20 (8) D21 (4) D24 (8) D25 (5) D4 (8) D5 (8) E (8) E1 (8) F (6) F2 (6) G (5) N1 (7) P1 (8) P2 (6) P3 (6) S1 (6)
0416585801,BE0416 585 801,Denys NV,00114,Industrieweg 124,B 9032,Gent,03/10/2023,,A (5) B (8) B1 (8) C (8) C1 (8) C2 (8) C5 (5) C6 (8) C7 (8) D (8) D1 (8) D10 (5) D11 (6) D12 (5) D13 (5) D14 (7) D16 (8) D17 (6) D18 (8) D20 (7) D21 (6) D22 (5) D23 (7) D24 (8) D25 (5) D4 (7) D5 (8) D6 (6) E (8) E1 (8) E2 (8) E4 (8) G (8) G1 (8) G2 (6) H (8) H1 (4) H2 (5) L (8) L1 (8) P1 (8) P2 (6) P3 (6) S1 (6)
0405073285,BE0405 073 285,Van Laere NV,00102,Antwerpsesteenweg 320,B 2070,Zwijndrecht,13/03/2023,,C (5) C1 (5) C5 (2) D (8) D1 (8) D16 (6) D17 (7) D18 (6) D20 (8) D24 (8) D4 (8) D5 (6) E (8) E1 (8) F (7) F2 (7) G (8) P1 (7) P2 (5) P3 (5) S1 (5)
0440757607,BE0440 757 607,AANNEMINGEN M. EN J. BRAET NV,00066,Toevluchtweg 2,B 8620,Nieuwpoort,13/07/2022,,A (4) B (7) B1 (7) D (7) D1 (7) D21 (7) E (4) G (4)
0401722926,BE0401 722 926,Lixon SA,00077,Quai de la Darse 14,B 6030,Charleroi,13/02/2023,,C (4) C1 (4) C5 (1) D (8) D1 (8) D10 (5) D11 (5) D13 (4) D15 (3) D16 (6) D17 (4) D18 (6) D20 (5) D21 (3) D22 (3) D24 (8) D25 (4) D29 (4) D4 (6) D5 (7) D6 (3) D7 (5) D8 (5) E (8) E1 (8) F (3) F2 (3) G (5) G5 (5) P1 (6) P2 (4) P3 (4) S1 (4)
0402375301,BE0402 375 301,Bétons et Matériaux SA,00070,Rue du Rond Point 243,B 6060,Charleroi,22/05/2024,,D (7) D1 (7) D10 (1) D11 (1) D12 (1) D13 (1) D16 (1) D17 (1) D18 (1) D20 (1) D21 (1) D22 (1) D25 (1) D29 (1) D4 (1) D5 (1) D7 (1) D8 (1) E (4) F3 (1) G (5) G3 (1) G5 (1) P1 (1)
0405299355,BE0405 299 355,VAN HUELE NV,00185,Zandvoordestraat 453,B 8400,Oostende,08/09/2023,,A (5) B (8) B1 (8) C (4) C1 (4) C5 (3) D (8) D1 (8) D21 (8) D24 (1) E (5) G (5)
0405791778,BE0405 791 778,Mols Contractors NV,00296,Hoge Mauw 580,B 2370,Arendonk,13/06/2022,,C (8) C1 (8) C5 (5) D (6) D1 (6) E (8) E1 (8) F (6) F1 (1) F2 (6) G (5) V (8)
0403907307,BE0403 907 307,Entreprises Gilles Moury SA,00246,Rue des Anglais 6A,B 4430,Ans,13/11/2023,,D (8) D1 (8) D10 (5) D11 (6) D15 (4) D20 (8) D22 (5) D24 (1) D29 (5) D4 (7) D7 (5) D8 (6) E (5) F (5) F2 (5) G (6) G5 (6) P1 (8) P2 (6) P3 (6) S1 (6)
0428661806,BE0428 661 806,ALGEMENE ONDERNEMINGEN ROBERT WYCKAERT NV,00259,Ottergemsesteenweg 415,B 9000,Gent,12/01/2021,,C (6) C1 (6) C5 (3) D (8) D1 (8) D16 (7) D17 (7) D18 (7) D20 (8) D4 (8) D5 (8) D8 (7) E (8) E1 (8) E2 (8) F (7) F2 (7) G (7) G5 (6) P1 (8) P2 (6) P3 (6) S1 (6)
0439480076,BE0439 480 076,ETS E. RONVEAUX SA,00302,Rebonmoulin 16,B 5590,Ciney,08/03/2021,,C6 (7) D (8) D1 (8) E (5) G (5) P1 (6) P2 (8) P3 (8) S1 (6) S2 (5) S3 (8)
0414011737,BE0414 011 737,BOUWBEDRIJF WILLEMS & C° NV,16533,Nijverheidsstraat 26,B 2260,Westerlo,13/06/2022,,C1 (1) D (6) D1 (6) D5 (1) E (3) G (3)
0442280903,BE0442 280 903,SOCOGETRA SA,00324,Rue Joseph-Calozet 11,B 6870,Saint-Hubert,10/06/2020,,A (5) B (8) B1 (8) C (8) C1 (8) C2 (6) C3 (7) C5 (8) C6 (5) D (8) D1 (8) E (8) E1 (8) E2 (6) E4 (8) G (8) G1 (6) G2 (7) G3 (5) G4 (3) G5 (7) H (8) L (5) P1 (5) P2 (7) P3 (5) S1 (5) V (8)
0412870996,BE0412 870 996,DE BRANDT NV,00499,Sint Ursmarusstraat 23,B 9200,Dendermonde,09/11/2023,,A (8) B (8) B1 (8) C (6) C1 (6) C5 (3) D (8) D1 (8) E (8) E1 (8) E2 (8) F (5) F2 (5) G (5) G1 (7)
0400983152,BE0400 983 152,Vanderstraeten NV,00653,Europaweg 11,B 3560,Lummen,13/06/2022,,C (5) C1 (5) C5 (2) D (8) D1 (8) D16 (8) D17 (8) D18 (7) D20 (8) D24 (7) D4 (8) D5 (8) E (5) G (6) N (5) P1 (8) P2 (6) P3 (6) S1 (6)
0400082042,BE0400 082 042,Artes Depret NV,00492,Rederskaai 61 bus .0301,B 8380,Brugge,11/04/2023,,A (8) A1 (5) B (8) B1 (8) C (8) C1 (8) C5 (5) D (8) D1 (8) D10 (8) D11 (7) D16 (8) D17 (8) D18 (8) D20 (8) D4 (8) D5 (8) D8 (7) E (8) E1 (8) E2 (8) F (8) F2 (8) G (7) G3 (5) G5 (7) N1 (6) P1 (8) P2 (6) P3 (6) S1 (6)
0402387573,BE0402 387 573,Entreprises Cop et Portier SA,00448,Rue des Awirs 270,B 4400,Flémalle,10/07/2024,,A (1) B (1) B1 (1) C (8) C1 (8) C2 (1) C5 (5) C6 (1) D (8) D1 (8) D21 (1) D24 (1) D29 (1) E (8) E1 (8) G (5) G2 (1) G5 (1)
0401818144,BE0401 818 144,ENTREPRISES GENERALES DHERTE SA,00579,Rue Lieutenant Cotton 15,B 7880,Flobecq,11/03/2024,,C (6) C1 (6) C5 (3) D (8) D1 (8) D10 (6) D11 (6) D12 (4) D13 (5) D15 (3) D16 (8) D17 (7) D18 (7) D20 (8) D21 (2) D22 (5) D23 (3) D24 (7) D25 (5) D29 (5) D4 (7) D5 (8) D7 (6) D8 (6) E (5) E1 (1) E2 (5) F (5) F2 (5) G (6) G3 (2) G5 (5) N1 (5) P1 (8) P2 (6) P3 (6) S1 (6) V (1)
0434556832,BE0434 556 832,DECKX ALGEMENE ONDERNEMINGEN NV,00680,Goormansdijk 15,B 2480,Dessel,24/01/2023,,C (8) C1 (8) C2 (6) C3 (3) C5 (8) C7 (5) D (8) D1 (8) E (8) E1 (8) G (5) G3 (4) V (8)
0405619851,BE0405 619 851,Entreprises générales Louis DUCHENE SA,00752,Route de Strée 44,B 4577,Modave,05/07/2023,,A (5) B (8) B1 (8) C (8) C1 (8) C5 (5) D (8) D1 (8) D20 (8) D21 (6) D24 (8) D4 (8) D5 (8) D7 (7) E (8) E1 (8) E2 (8) F (8) F2 (8) G (8) G5 (8) H (8) H2 (8) L (5) L1 (4) L2 (5) P1 (8) P2 (6) P3 (6) S1 (6) V (8)
0441337825,BE0441 337 825,MONUMENT - VANDEKERCKHOVE NV,00763,Oostrozebekestraat 54,B 8770,Ingelmunster,16/09/2019,,D (8) D1 (8) D10 (7) D11 (6) D12 (7) D13 (6) D14 (6) D16 (6) D17 (8) D18 (7) D20 (7) D21 (8) D22 (7) D23 (8) D24 (8) D4 (7) D5 (8) D6 (8) D7 (4) E (5) E2 (5) F (6) F1 (6) F2 (6) G (5) G5 (6) P1 (8) P2 (6) P3 (6) S1 (6)
0406041406,BE0406 041 406,Jan De Nul NV,00960,Tragel 60,B 9308,Aalst,11/04/2022,,A (8) A1 (8) B (8) B1 (8) C (8) C1 (8) C2 (8) C5 (8) C7 (8) D (8) D1 (8) D16 (8) D17 (8) D18 (8) D20 (6) E (8) E1 (8) E2 (8) E4 (8) F (8) F2 (8) G (8) G1 (5) G2 (8) G3 (7) G5 (8) K1 (8) K3 (8) L (8) L2 (8) P1 (8) P2 (8) P3 (6) S1 (6) U (8) V (8)
0402443595,BE0402 443 595,Etablissements Jean Wust SA,00926,Rue Grondal 14,B 4890,Thimister-Clermont,12/09/2023,,C (3) C1 (3) C5 (3) D (8) D1 (8) D10 (4) D11 (4) D12 (1) D16 (4) D17 (4) D18 (3) D20 (5) D21 (2) D22 (4) D24 (8) D29 (4) D4 (6) D5 (7) D6 (1) D7 (4) E (8) E1 (8) F (8) F2 (8) G (5) G5 (5) P1 (6) P2 (4) P3 (4) S1 (4) V (8)
0433353438,BE0433 353 438,HERPAIN ENTREPRISE SA,00846,Avenue des Statuaires 43,B 1180,Uccle,01/12/2020,,D (7) D1 (7) E (4) G (4)
0416669933,BE0416 669 933,HOUBEN NV,00915,Prins-Bisschopssingel 36 bus 5,B 3500,Hasselt,08/09/2023,,C (6) C1 (6) C5 (3) D (8) D1 (8) D10 (6) D11 (1) D13 (4) D17 (7) D18 (7) D20 (8) D21 (1) D24 (1) D25 (5) D29 (4) D4 (8) D5 (7) D8 (1) E (5) G (5) G5 (1) P1 (8) P2 (6) P3 (6) S1 (6)
0439714361,BE0439 714 361,VANHOUT NV,00981,Lammerdries 12,B 2440,Geel,03/10/2023,,C (8) C1 (8) C5 (5) D (8) D1 (8) D10 (6) D16 (8) D17 (8) D18 (7) D20 (8) D4 (6) D5 (8) E (8) E1 (8) E2 (6) F (5) F2 (5) G (5) N1 (6) P1 (8) P2 (6) P3 (6) S1 (6)
0408081176,BE0408 081 176,Algemene Ondernemingen Himpe NV,01264,Autobaan 16,B 8210,Zedelgem,13/06/2022,,B (1) B1 (1) C (1) C1 (1) D (7) D1 (7) D10 (1) D24 (7) D5 (1) E (4) F (1) F2 (1) G (4)
