Column1,List1_Name,List2_Name,Similarity
2,9altitudes,9altitudes,1
8,accenture,accenture,1
19,agilitas,agilitas,1
31,altrad services,altrad services,1
58,atlas copco,atlas copco,1
73,barry callebaut,barry callebaut,1
94,boston consulting,boston consulting,1
116,capgemini,capgemini,1
124,carglass,carglass,1
125,carglass,carglass,1
130,cheops technology,cheops technology,1
136,cocacola european partners,cocacola european partners,1
183,decathlon,decathlon,1
190,delhaize,delhaize,1
193,deloitte,deloitte,1
212,dpg media,dpg media,1
251,foodmaker,foodmaker,1
406,orange cyberdefense,orange cyberdefense,1
488,sopra steria,sopra steria,1
538,tata consultancy services,tata consultancy services,1
555,cocacola,cocacola,1
584,trifinance,trifinance,1
592,unilever,unilever,1
602,usg professionals,usg professionals,1
70,bank jvan breda,bank van breda,0.986666667
217,duraconstructkeersmaekers,duraconstruct keersmaekers,0.984369231
413,pauwels consulting,pauwelsconsulting,0.977901235
65,bakkerij aernoudt,bakkerijaernoudt,0.976608997
376,multiengineering,multi engineering,0.975882353
422,planet talent,planettalent,0.969467456
258,grandvision,grand vision,0.965454545
599,unmute you,unmuteyou,0.9604
48,asadventure,as adventure,0.96
334,kmodynamoo,kmo dynamoo,0.959212121
255,geo square,geosquare,0.957133333
464,seatank terminal,sea tank terminal,0.957107843
3,abeiffage,ab eiffage,0.951703704
336,kuehnenagel,kuehne  nagel,0.951608392
69,bank j van breda,bank van breda,0.946428571
295,in the pocket,inthepocket,0.944220907
4,ac services,actum services,0.942857143
603,usg professionals in ict,usg professionals,0.941666667
489,sopra steria next,sopra steria,0.941176471
113,buysse  partners invest,buysse  partners,0.939130435
458,scania parts logistics,scania parts logistics unit 2250,0.9375
304,intellecteu,intelect,0.928264463
465,security cams,securitas,0.924023669
442,recruitment sisters,recruitment architects,0.921728117
638,van roey,van moer,0.921428571
436,proximus nxt,proximus,0.917777778
134,cocacola europacific partners,cocacola european partners,0.916799293
245,first floor careers,first floor,0.915789474
9,accenture song,accenture,0.915306122
629,van mossel,van moer,0.915
66,baltimore aircoil,baltimore aircoil international,0.909677419
606,van de velde packaging,van de velde,0.909090909
435,provincie oostvlaanderen,provincie antwerpen,0.908849329
679,volvo cars,volvo car gent,0.908571429
265,headcount,headcount gent,0.907936508
539,tch tessenderlo,tessenderlo,0.907733333
314,iss facility services belgi en luxemburg,iss facility services,0.905
114,bw engineering,dd engineering,0.904761905
230,equalminds,equans,0.9016
195,deloitte legal,deloitte,0.90122449
96,brainbridge technics,brainbridge,0.9009
372,motion medical,option media,0.900793651
634,van oord,van moer,0.9
403,optimizers,optimile,0.8967
528,talent lab,talentbay,0.894522222
54,atalenta,catalent,0.89375
393,olv ziekenhuis aalstasseninove,olv ziekenhuis,0.893333333
470,sma solar technology,classo technology,0.892892157
287,impact jobs,impact,0.892561983
469,sligro food,sligro,0.892561983
502,square city,square,0.892561983
504,squaretrade,square,0.892561983
260,greenyard,greenyard frozen,0.892222222
418,pietercil,pietercil delbys,0.892222222
683,willemen,willemen infra,0.891428571
363,mediaplus,mediahuis,0.890864198
25,alkenmaes mechelen,alkenmaes,0.89
495,sports agency,tpo agency,0.88974359
625,van moer logistics,van moer,0.888888889
203,devoteam g cloud,devoteam,0.88875
419,piva antwerpen,psa antwerp,0.887012987
241,evonik antwerpen,provincie antwerpen,0.886769006
622,van marcke,van moer,0.886428571
553,brand guys,brand quadergy,0.886349206
681,whitewood,whitewood capital,0.885751634
211,dpg media advertising,dpg media,0.885714286
556,digitals,digipolitans,0.885625
160,continuetech,contec,0.885
43,antwerpse parkings,antwerp space,0.884615385
14,ad media,dpg media,0.884259259
417,phd media,dpg media,0.884259259
477,smulders projects,smulders,0.883598616
446,resilient security,resilient business,0.882539683
497,sportstages,sportoase,0.881900826
453,rode kruisvlaanderen,rodekruis,0.8811
75,basf antwerp,psa antwerp,0.880808081
639,vanbreda services,vanbreda risk  benefits,0.880238704
684,willemen construct,willemen infra,0.879365079
299,innodis,innomedio,0.878911565
172,cronos leuven,cronos,0.878579882
593,unilin panels,unilin,0.878579882
380,natuurinvest,natuurpunt,0.878444444
431,projectseu,aprojects,0.87837037
460,sd worx luxembourg,sd worx,0.877777778
484,solutions magazine,solutions 30,0.877777778
252,fuji oil,fujifilm,0.8775
661,verhelst,verhaert,0.8775
670,vivaldis,vivaldis interim,0.8775
547,telenet business,telenet,0.87640625
574,tomorrowbe,tomorrowland,0.875466667
459,sd worx,sd worx,0.875
348,manna foods,manna,0.874710744
667,visma  yuki,visma,0.874710744
302,insight,plainsight,0.874285714
143,computacenter,computer task,0.874035503
649,vanden broele,vandemoortele,0.874035503
145,computerland,computer task,0.873653846
292,impactbuilders,impact,0.873061224
600,uptime hr,up time,0.873015873
191,deloitte accountancy,deloitte,0.8712
111,buysse  partners  private equity  real estate,buysse  partners,0.871111111
379,mva services,actum services,0.87049062
68,bank  banque van breda,bank van breda,0.87012987
120,captain  stoker,captain jane,0.87
421,planet,planettalent,0.87
630,van mossel mercedesbenz,van moer,0.869565217
28,alleen op avontuur,allen  overy,0.869191919
370,moon recruitment,at recruitment,0.869047619
658,vdk bank,ckv bank,0.869047619
271,hr talents  executive talents,hr talents,0.868965517
218,duval union innovative marketing,duval union,0.86875
371,moonsmanagement,moodmanagement,0.868688319
79,belgische federale overheidsdiensten,belgische federatie filantropische stichtingen,0.868295153
174,cronos security,cronos,0.868266667
290,impact speakers,impact,0.868266667
139,colruyt  fine food,colruyt,0.868024691
384,netwerk ondernemen,netwerk,0.868024691
414,pauwels consulting,pauwels,0.868024691
229,eqos energie,jeco energies,0.867521368
456,sbr construct,ka construct,0.867521368
86,bestmix software,stream software,0.86741453
42,antwerpen leest,antwerp space,0.867179487
326,just sbe consulting,just russel,0.86708134
621,van marcke,van laere,0.866984127
533,talentchain,talentbay,0.86677686
450,reynaers,reynaers aluminium,0.866666667
451,rialto recruitment,stroom recruitment,0.866666667
461,sd worx professionals,sd worx,0.866666667
575,top brands,pvh brands,0.866666667
482,solix academy,solix search,0.866239316
444,recruitment solutions,recruitment architects,0.865887446
155,construct0,ka construct,0.865666667
291,impact speakers,impact sales  marketing,0.865548654
97,brainbridge workforce solutions,brainbridge,0.865348595
36,antwerp golfschool,antwerp space,0.864957265
415,paytalent,catalent,0.864609053
21,ahlers logistics,ahlers,0.8640625
285,impact expansion,impact,0.8640625
401,optimeyes,optimile,0.863703704
585,trixolutions  leadership softskills,trixolutions,0.863608163
12,acctueel,accenture,0.863506944
95,brainbridge  workforce solutions,brainbridge,0.863320313
496,sportscom,sportoase,0.86292769
100,bright plus,brightwolves,0.862809917
483,solusio,solutions 30,0.862721088
493,sports agency,sportoase,0.862380013
671,vivalis,vivaldis interim,0.862142857
411,partena professional,partena,0.8613
359,mediafin,mediahuis,0.86125
534,talentit,talentbay,0.86125
537,talentus,talentbay,0.86125
177,dany tongeren,danone,0.860907298
608,van der valk hotel gent,van de velde,0.860803689
17,aft international,casa international,0.860784314
587,tta international,casa international,0.860784314
223,energy solutions,energyvision,0.860770833
503,square management,square,0.860346021
243,finsiders  part of lifeworx,finsiders,0.860246914
59,atlas grow how,atlas copco,0.85974026
67,bank  banque j van breda,bank van breda,0.85952381
325,just pro,just russel,0.859090909
620,van marcke,van havermaet,0.858076923
448,retail partners colruyt,retail performance,0.857101449
283,impact copywriting,impact,0.857037037
345,lyreco deutschland,lyreco,0.857037037
369,moon recruitment,stroom recruitment,0.856944444
40,antwerp school of education,antwerp space,0.856837607
385,next potentials,nextensa,0.856755556
580,traicie,trifinance,0.856707483
112,buysse  partners  private equity  real estate investments,buysse  partners,0.856140351
254,gens rental,boels rental,0.856060606
375,mrp solution,ag solution,0.856060606
339,lemon companies,lemon,0.855111111
137,cocacola european partners,cocacola,0.854911243
660,verhaert onsite consulting,verhaert,0.854911243
475,smartwaterloop,smartwithfood,0.854646782
15,adman agency,adman agency  divisie van respectfully yours,0.854545455
395,one digital,on it,0.854545455
567,recruiters academy,recruitment architects,0.854256854
613,van hamme architecten,van laere,0.853968254
462,sd worx staffing solutions,sd worx,0.853846154
39,antwerp powered by creatives,antwerp space,0.853663004
578,top employers institute,top printing,0.853623188
55,atalian global services,atalian,0.853383743
140,colruyt laagste prijzen,colruyt,0.853383743
270,hr challengers,hr talents,0.853333333
316,jan adins,jan de nul,0.853333333
659,verhaert  onsite consulting,verhaert,0.852894376
474,smartschool,smartwithfood,0.852739987
167,coventuris,covestro,0.8526
540,team lewis,teamblue,0.8526
543,teamleader,teamblue,0.8526
74,basf antwerp,basf,0.852222222
231,equals money,equans,0.852222222
644,vandelanotte,vandersanden,0.852222222
689,y squared,4p square,0.851851852
319,jobat  ads  data,jobat,0.85171875
399,optimaal groeien,optimile,0.85171875
298,ingersoll rand,ingersollrand industrial technology,0.851428571
131,cheops technology,classo technology,0.851260504
207,digisocial,digipolitans,0.850966667
29,altrad,altrad services,0.850666667
152,connection,contec,0.850422222
343,linklaters,lineas,0.850422222
388,nexxential,nextensa,0.85015
1,4p square  expand your possibilities,4p square,0.85
636,van put home,van moer,0.85
637,van roey,van laere,0.85
690,yourimpact,impact,0.849333333
135,cocacola europacific partners,cocacola,0.849274673
279,ifac service,actum services,0.849206349
485,solvint supply management,solvint,0.849152
158,contentement coaching,contec,0.848979592
318,janssen pharmaceutica,jansen,0.848979592
682,willem trip therapie,willemen infra,0.848961039
612,van hamme architecten,van havermaet,0.848901099
523,stroom maatwerk,stream software,0.848333333
349,marshall wace,mars,0.848284024
220,elmos,elmosexperts,0.848
548,telenet business,telenet retail,0.847857143
32,altrea logistics,altrad services,0.84780303
41,antwerp world diamond centre,antwerp space,0.847802198
510,stad oudenaarde,standaard boekhandel,0.847777778
38,antwerp management school,antwerp space,0.847282051
383,netwerk conceptueel bouwen,netwerk,0.847278107
